file,event,lab_a,lab_b,gap,angle,offset,e_a,e_b,len_a,len_b,reason
flow0000001,6,81,82,27.928695775713244,1.3811241155871485,1.3868598939570786,120.6986241787672,25.669083662331104,87.44237221647475,25.56708927615024,anchors 28.2cm > eps5
flow0000001,6,64,66,51.250630141901965,13.90903178032472,6.409591221575331,233.85252030938864,38.50020207464695,154.87063666737356,20.287565611175353,anchors 50.5cm > eps5
flow0000001,6,88,96,45.2681467158051,5.0587136055204835,7.4818221276421815,29.845490150153637,188.68684807419777,23.001426490836963,131.83237510819302,anchors 46.0cm > eps5
flow0000001,7,9,13,4.550726628592614,0.37975870758286895,4.427200122284487,91.89512392878532,93.18248749524355,63.814066141990835,45.14906105954445,doca 1.83 >= 1.5 (int)
flow0000001,7,11,37,55.241346676809144,1.0582209275995569,3.216873070025699,521.4021782204509,151.76746749132872,320.0546948927198,87.92307226166801,anchors 56.1cm > eps5
flow0000001,7,16,26,18.79940978264682,13.234472367475004,0.5345732094602934,98.75596620887518,132.71130665391684,45.069413504858275,91.11996441841022,anchors 19.1cm > eps5
flow0000001,7,99,110,64.00277878163891,0.5980728371152464,1.6467364141535195,324.88796953856945,403.7593111768365,196.70742133476188,239.40651056618933,anchors 64.6cm > eps5
flow0000001,7,19,23,79.75170449829173,0.1257538210161711,1.6247156488576775,197.92831716686487,491.0739069208503,123.36469913240057,299.2295574129672,anchors 80.5cm > eps5
flow0000001,7,21,25,56.75201771796314,1.7064117162934511,4.373567931769776,163.420772254467,536.3470579236746,96.68787364697137,349.89295011663114,anchors 57.3cm > eps5
flow0000001,7,32,44,9.488340389014335,14.703604473864296,7.379587764581674,350.4559439867735,158.396314419806,253.41215886458764,85.57374341955847,anchors 5.5cm > eps5
flow0000001,7,32,47,63.70397579993654,1.7726334756262898,5.90845273118291,350.4559439867735,130.47318971157074,253.41215886458764,80.2636978540199,anchors 64.3cm > eps5
flow0000001,7,45,57,3.088821973067396,0.5130764925969333,2.2303099937336444,265.5028672218323,192.54113717377186,179.3675539736496,136.3207399959726,doca 2.58 >= 0.75 (bnd)
flow0000001,7,53,54,16.960534511404703,9.799120139237218,1.6996719766365909,720.6457218304276,199.1066073179245,410.97642880870046,81.47242917496018,anchors 16.5cm > eps5
flow0000001,7,149,152,42.02971978723879,0.2670015184631775,2.8519021000735862,83.79261975735426,542.5418504104018,62.91122293727944,390.11738133583196,anchors 42.5cm > eps5
flow0000001,7,59,61,1.2140161392448845,14.606244488537326,0.2909933658229172,325.0438492298126,239.03541153669357,71.84632496996618,154.3356362174959,doca 1.84 >= 1.5 (int)
flow0000001,7,60,61,22.266135343107873,8.123310284227946,4.007820206221183,359.4695507287979,239.03541153669357,63.004027689974286,154.3356362174959,anchors 22.2cm > eps5
flow0000001,7,66,73,5.618159984820824,12.991331661366017,1.0919928324651325,41.12333419173956,122.39854808151722,24.145902302089606,57.603528751322166,anchors 5.6cm > eps5
flow0000001,7,72,75,6.223047231035707,10.891910211493645,4.5508879741064225,136.07118836045265,305.7921585291624,42.919841975120406,72.42931333131767,anchors 10.5cm > eps5
flow0000001,7,117,120,3.91470350469042,2.4664935876303056,0.7766742148242071,136.16911461949348,366.6451900973916,43.72288823399181,73.41301964864591,doca 0.75 >= 0.75 (bnd)
flow0000001,7,121,134,42.171456962694286,0.507140860397149,2.5597741815088257,164.55256985872984,254.24906612932682,101.2589985768272,163.28685998497616,anchors 42.7cm > eps5
flow0000001,7,134,141,13.574365912606416,0.23626477954831107,2.9025989970452506,254.24906612932682,145.62044873833656,163.28685998497616,101.13645888720096,anchors 14.0cm > eps5
flow0000001,7,131,160,68.84040304090894,0.4903156063569939,1.2231774739911305,575.8953010514379,159.54451087117195,335.5266769727029,93.16202749895197,anchors 69.8cm > eps5
flow0000001,7,158,161,4.053447462505624,6.007683011351062,4.029200518660267,275.6677010431886,246.08525568246841,100.48692788590297,50.06717412496122,anchors 11.9cm > eps5
flow0000001,8,5,44,59.828156428652555,1.403800045086621,2.649176782632449,373.5563518181443,317.56775388121605,243.99787014492176,196.76826270108933,anchors 60.4cm > eps5
flow0000001,8,7,12,10.3694245989423,13.149369017346103,1.7064176855253272,123.55900817364454,182.83790466934443,91.0680493334828,97.05701907934873,anchors 10.2cm > eps5
flow0000001,8,26,33,10.259335258291546,6.178666484768352,4.229355074601128,585.4259243905544,456.28389079868793,105.97387971191529,110.2324168158323,anchors 10.1cm > eps5
flow0000001,8,26,34,16.425350321860673,2.460500696368707,1.362287234113748,585.4259243905544,37.96025848388672,105.97387971191529,29.801161780764073,anchors 17.0cm > eps5
flow0000001,8,26,39,11.56352237762953,10.08575230174055,0.5757018520360804,585.4259243905544,96.11038461327553,105.97387971191529,37.92646512954143,anchors 11.9cm > eps5
flow0000001,8,26,41,31.72861060021159,1.3407503546811812,2.128197242756977,585.4259243905544,722.7367115095258,105.97387971191529,83.7135009901805,anchors 29.9cm > eps5
flow0000001,8,33,34,26.006068475238045,5.394136899103051,6.379638902529329,456.28389079868793,37.96025848388672,110.2324168158323,29.801161780764073,anchors 27.1cm > eps5
flow0000001,8,33,39,4.958386875390383,6.989681023076635,4.198034774873201,456.28389079868793,96.11038461327553,110.2324168158323,37.92646512954143,doca 3.10 >= 0.75 (bnd)
