file,event,label,e_mev,length,linearity,purity,foreign,hint,dom_t0,top_foreign
flow0000001,9,106,194.76269175857306,76.27559630365297,0.9939271602671124,0.8817460287440428,23.031461752951145,mixed/absorbed,107.81642732080424,g49:22MeV(t0 588)
flow0000001,9,463,74.71260721981525,17.97638088124841,0.7183053393824386,0.6610857256132103,25.321169063448906,mixed/absorbed,41.66290997747165,g7:25MeV(t0 72)
flow0000001,9,801,978.8651472404599,78.26007622987152,0.7112844505474618,0.9543674823461324,44.66808111220598,mixed/absorbed,249.45359700352066,g25:38MeV(t0 292)
flow0000001,9,817,118.55874961614609,31.438003127879917,0.8410155532202208,0.6464405476126706,41.91756659001112,mixed/absorbed,288.5452245929897,g26:23MeV(t0 324)
flow0000001,9,1106,285.71693512797356,56.96184898463923,0.5679292578192302,0.5903492109471123,117.04416792094707,mixed/absorbed,249.9186865366422,g40:117MeV(t0 468)
flow0000002,0,489,1109.686733596027,92.14470439520028,0.6654098950597974,0.8684424843350128,145.98762983828783,mixed/absorbed,229.17325767042323,g27:124MeV(t0 302)
flow0000002,0,498,284.2751228734851,104.69179792177762,0.9260146034940941,0.5470700892582884,128.7567060291767,mixed/absorbed,489.22247027435594,g4:126MeV(t0 52)
flow0000002,1,1,1023.1303865909576,195.26173852706225,0.9948300342762488,0.9626792692016133,38.18397372961044,mixed/absorbed,298.1478972209445,g6:34MeV(t0 85)
flow0000002,1,95,304.9617809280753,102.00981259311052,0.8444396728106474,0.9200050115963443,24.395414128899574,mixed/absorbed,21.92195476526617,g22:24MeV(t0 251)
flow0000002,1,132,98.74290979653597,33.162052824833374,0.9065950320286292,0.5985586965394131,39.63948241621256,mixed/absorbed,457.01701092568175,g41:40MeV(t0 499)
flow0000002,1,137,272.5194355174899,95.25078804569313,0.977005142223666,0.505682743704262,134.7110596522689,mixed/absorbed,516.8903579862396,g39:135MeV(t0 457)
flow0000002,1,169,535.7953229695559,44.948499551469446,0.517199309320292,0.9407446303640297,31.748749911785126,mixed/absorbed,410.05993670633393,g26:16MeV(t0 326)
flow0000002,1,437,339.01027050614357,74.63032088769262,0.8876338438710423,0.8067558803593299,65.51174127310514,mixed/absorbed,298.14733140902626,g6:62MeV(t0 85)
flow0000002,1,1012,359.76205509901047,59.40441274661837,0.7538744882846741,0.8176573841295783,65.59995421767235,mixed/absorbed,328.15450329138923,g32:66MeV(t0 375)
flow0000002,1,1167,178.65146425366402,39.39615616253438,0.7357221557269941,0.8527399324735355,26.308226689696312,mixed/absorbed,305.05325109634043,g71:26MeV(t0 1061)
flow0000002,1,1411,72.43054303526878,22.458764957718444,0.8234115203203418,0.6568839552157099,24.852081447839737,mixed/absorbed,517.0423241184183,g62:25MeV(t0 834)
flow0000002,1,1515,1468.825881011784,95.34961037548584,0.9178654972247843,0.9767486759901033,34.152146473526955,mixed/absorbed,547.7310229810978,g20:34MeV(t0 239)
flow0000002,1,1578,506.96921556442976,42.541380373332906,0.7756349170758172,0.9241777717160197,38.43953559547663,mixed/absorbed,547.8436055683102,g20:38MeV(t0 239)
flow0000002,10,31,129.2436264678836,53.22270228697337,0.9036292211628435,0.8365082069463067,21.13027223199606,mixed/absorbed,317.9491841443974,g34:21MeV(t0 394)
flow0000002,10,98,223.37718895822763,64.4341397496326,0.7261177771160706,0.8898166685089774,24.61244285851717,mixed/absorbed,468.7789265237204,g3:24MeV(t0 52)
flow0000002,10,799,1074.5153623223305,67.58735366475163,0.7880090740068699,0.9636485337194738,39.06020896136761,mixed/absorbed,569.1104088205742,g56:23MeV(t0 660)
flow0000002,10,884,504.16392554342747,56.307275662824416,0.8052757191964639,0.955340792603977,22.515561312437057,mixed/absorbed,583.2620942987948,g61:23MeV(t0 930)
flow0000002,10,962,924.6960566863418,72.92428404048856,0.8929031982699853,0.9652523040151402,32.13105745613575,mixed/absorbed,178.75050255886205,g17:32MeV(t0 218)
