file,event,lab_a,lab_b,e_a,e_b,old_end_dist,old_angle,reason
flow0000006,3,89,90,78.89952366054058,124.60513629764318,2.1461235974708983,139.61648339145665,doca 1.75 >= 1.5 (int)
flow0000006,7,165,166,128.1651724204421,78.87436404824257,3.0342459167224014,108.13135657453387,doca 2.32 >= 1.5 (int)
flow0000006,8,35,43,70.46056718379259,72.81285099685192,2.7569484380554536,30.89321313529935,doca 0.80 >= 0.75 (bnd)
flow0000007,0,34,39,457.91614557802677,123.73336070030928,3.1608606005187596,16.249580904986804,doca 1.79 >= 0.75 (bnd)
flow0000007,0,127,128,187.27337642014027,317.58797692507505,2.0337009540151607,61.22002667463665,doca 1.62 >= 1.5 (int)
flow0000007,1,79,81,165.806973002851,126.31732243299484,3.7997523130037174,15.10773255131476,doca 3.37 >= 1.5 (int)
flow0000007,1,81,82,126.31732243299484,315.4600426927209,1.9753020997417694,151.20102934350368,doca 0.76 >= 0.75 (bnd)
flow0000007,10,38,41,77.30564603209496,54.22577775269747,1.861882939782402,20.179250255150265,doca 0.97 >= 0.75 (bnd)
flow0000007,5,115,116,197.9978996962309,94.18833488970995,1.1593248208721079,30.45973487755503,doca 0.91 >= 0.75 (bnd)
flow0000007,8,35,36,531.9181133210659,133.5257624015212,2.91658988276737,36.61552576929305,doca 1.66 >= 1.5 (int)
flow0000008,3,44,45,122.89040518552065,145.28367787599564,2.8897214745791393,53.088570708865845,doca 2.27 >= 1.5 (int)
flow0000008,4,26,46,492.1636634618044,82.60063281655312,3.2103637080465393,57.775767378741214,doca 1.42 >= 0.75 (bnd)
flow0000008,6,30,31,128.33761531859636,83.37830603122711,2.9776631728052476,24.797793471777897,should have merged?!
flow0000009,1,26,30,75.92911382764578,225.59125921875238,2.98174099147653,81.31528924912904,doca 1.38 >= 0.75 (bnd)
flow0000009,12,114,116,191.69165210425854,141.25997303426266,0.9939989826414951,48.95806986795124,doca 0.97 >= 0.75 (bnd)
flow0000009,6,22,24,93.12978428602219,98.83048614114523,1.7102662122453596,111.55715659136511,doca 1.60 >= 1.5 (int)
flow0000009,8,28,30,1135.6252239271998,219.8722453340888,3.0000903710824502,30.79774008742489,doca 2.22 >= 1.5 (int)
flow0000010,1,108,109,103.91815741360188,135.01693458855152,3.9256323759178775,99.32727516873378,doca 2.53 >= 1.5 (int)
flow0000010,10,58,66,154.71956786513329,259.28960781544447,2.662088562756957,27.44931959656282,doca 1.12 >= 0.75 (bnd)
flow0000010,10,58,73,154.71956786513329,56.801460079848766,3.1686049414060804,124.67788715573731,doca 0.91 >= 0.75 (bnd)
flow0000010,2,106,109,169.6015481352806,363.0049106925726,3.0809342499129375,16.7263210225077,doca 2.27 >= 1.5 (int)
flow0000010,3,120,123,424.70806311815977,97.27434455603361,3.2726961130326604,23.529510692821326,doca 1.56 >= 0.75 (bnd)
flow0000010,4,102,103,428.1064742356539,277.8252485617995,3.398124153892631,18.672317797416905,doca 2.23 >= 1.5 (int)
flow0000010,5,151,154,146.57693311572075,67.54318030178547,1.59552827964468,157.79664117856265,doca 1.53 >= 0.75 (bnd)
flow0000010,6,47,48,288.5333684757352,412.6971308514476,3.3887108074472,55.16485910374761,doca 1.84 >= 1.5 (int)
flow0000010,9,36,37,88.56342649459839,222.19889879226685,3.2728587047624313,21.080787099253754,doca 1.52 >= 0.75 (bnd)
