file,event,label,e_mev,length,n_tpcs,purity,foreign,hint,dom_t0,top_foreign,vp_merged
flow0000001,3,45,482.52762438356876,306.0506543383266,4,0.9768219330598281,11.184057578444481,mixed/absorbed,310.43687749607943,g47:11MeV(t0 590),
flow0000001,3,89,678.3694127574563,485.73427264538645,8,0.9485204150965681,34.9221757799387,mixed/absorbed,61.32347027949182,g22:27MeV(t0 266),
flow0000001,3,101,78.96114382892847,24.778816682736995,1,0.6957398450634296,24.0247298553586,mixed/absorbed,227.85689562017268,g4:24MeV(t0 43),
flow0000001,3,114,705.1457772254944,496.980672998843,6,0.985193446779103,10.440778478980064,mixed/absorbed,375.41471916992595,g47:6MeV(t0 590),
flow0000001,4,47,75.24570413678885,27.42534885012308,1,0.7116940721799995,21.693782545626163,mixed/absorbed,268.58665438051577,g33:22MeV(t0 364),
flow0000001,5,15,178.85878083854914,42.01758979748004,1,0.934589057639501,11.699321404099464,mixed/absorbed,252.85270378726653,g34:12MeV(t0 367),
flow0000001,5,17,394.5321709960699,277.081217359742,3,0.9374906163363873,24.6619628444314,mixed/absorbed,156.40611816713732,g58:25MeV(t0 619),
flow0000001,5,20,345.8295563235879,251.91198607306237,2,0.9853299359916198,5.073341727256775,mixed/absorbed,271.0184808859159,g31:5MeV(t0 325),
flow0000001,5,24,363.06779984384775,236.86486172432978,4,0.9752347086885125,8.991479828953743,mixed/absorbed,304.1573530585219,g33:9MeV(t0 351),
flow0000001,5,72,255.02164237946272,163.6869597621959,3,0.9348354491942273,16.61837077140808,mixed/absorbed,424.16506980250944,g42:17MeV(t0 472),yes
flow0000001,6,15,779.8660276383162,504.37794768986964,6,0.9371429002265667,49.020116709172726,mixed/absorbed,327.4745363712121,g16:49MeV(t0 218),
flow0000001,6,17,69.6838489472866,21.68867917636819,1,0.6597293579135385,23.711368024349213,mixed/absorbed,41.8604850769043,g25:24MeV(t0 308),
flow0000001,6,29,63.00006880611181,24.36677514895089,1,0.9049835964891275,5.986039958894253,mixed/absorbed,218.64482648032052,g22:6MeV(t0 281),
flow0000001,6,35,218.20002750307322,105.88677678898756,2,0.892013539486597,23.56264865398407,mixed/absorbed,591.6492883227393,g55:17MeV(t0 668),
flow0000001,6,98,83.18691299110651,42.09560563752112,1,0.9077037036599565,7.677843973040581,mixed/absorbed,616.7451072225765,g55:8MeV(t0 668),
flow0000001,7,11,521.4021782204509,320.0546948927198,4,0.9895035992586725,5.472846210002899,mixed/absorbed,404.42051264230247,g12:5MeV(t0 112),
flow0000001,7,16,98.75596620887518,45.069413504858275,1,0.9132284780935674,8.569205485284328,mixed/absorbed,110.26590077150533,g39:9MeV(t0 401),
flow0000001,7,42,133.58754266798496,51.9214338321721,1,0.5235593275481105,63.64653865993023,mixed/absorbed,133.8028626949229,g18:64MeV(t0 168),
flow0000001,7,49,629.1665041819215,402.7507883714446,4,0.9122019605123968,55.23958557844162,mixed/absorbed,470.55079267638564,g54:35MeV(t0 569),
flow0000001,7,51,586.7575617581606,387.68894544309796,4,0.9673563191774635,19.15392656624317,mixed/absorbed,85.41440240150075,g54:19MeV(t0 569),yes
flow0000001,7,57,192.54113717377186,136.3207399959726,2,0.9436236169843646,10.85477289557457,mixed/absorbed,489.67443495347237,g54:11MeV(t0 569),
flow0000001,7,71,262.83610544353724,131.1168667334855,2,0.8433176815079602,41.181770384311676,mixed/absorbed,568.1040457782244,g15:22MeV(t0 134),yes
flow0000001,7,75,305.7921585291624,72.42931333131767,1,0.6166616347619603,117.2218661531806,mixed/absorbed,568.0395301418753,g47:99MeV(t0 489),
flow0000001,7,119,59.77091384679079,25.795896011713914,1,0.5502346912773922,26.88288351893425,mixed/absorbed,555.0640289306641,g51:27MeV(t0 532),
flow0000001,7,157,111.82035403698683,38.29748396861423,1,0.8132081536763999,20.8871303871274,mixed/absorbed,36.97262432213986,g7:21MeV(t0 64),
flow0000001,8,14,106.48953977972269,48.99361144390416,1,0.7689268860175327,24.60686956346035,mixed/absorbed,556.2255498414398,g54:25MeV(t0 592),
flow0000001,8,27,395.3348437547684,250.74239299001596,3,0.9616229658722821,15.171778790652752,mixed/absorbed,249.57289244157994,g20:11MeV(t0 224),
flow0000001,8,69,177.3512051180005,99.08958884440702,1,0.9352217387191522,11.488502703607082,mixed/absorbed,474.7181773330226,g50:6MeV(t0 556),
flow0000001,8,80,105.21746388822794,55.06896762397413,1,0.9515598639779222,5.096748262643814,mixed/absorbed,256.4697814335097,g48:5MeV(t0 520),
flow0000001,9,98,681.4570195674896,450.08663840821384,6,0.9840338436700453,10.880249306559563,mixed/absorbed,248.29851469457304,g40:11MeV(t0 468),
flow0000001,9,102,90.63785535097122,34.2311126683645,1,0.7458957776111551,23.031461752951145,mixed/absorbed,107.87271289436184,g49:22MeV(t0 588),
flow0000001,9,115,769.418247140944,499.45809596891564,5,0.9868806111524543,10.094297170639038,mixed/absorbed,15.917864303242077,g40:10MeV(t0 468),
flow0000002,0,70,730.1113926321268,497.8255997470045,5,0.9800898659693249,14.536615684628487,mixed/absorbed,83.96817737268864,g5:14MeV(t0 74),
flow0000002,1,68,586.3849659562111,377.395994949684,4,0.9750688434601953,14.619255378842354,mixed/absorbed,517.4500167779461,g40:15MeV(t0 465),
flow0000002,1,77,208.79200691729784,101.71755624911677,1,0.9709869501723816,6.057692900300026,mixed/absorbed,84.47210488295515,g40:6MeV(t0 465),yes
flow0000002,1,103,304.9617809280753,102.00981259311052,1,0.9200050115963443,24.395414128899574,mixed/absorbed,21.92195476526617,g22:24MeV(t0 251),yes
flow0000002,1,141,98.74290979653597,33.162052824833374,1,0.5985586965394131,39.63948241621256,mixed/absorbed,457.01701092568175,g41:40MeV(t0 499),
flow0000002,1,142,294.36941710859537,70.97183683713119,1,0.9811437306273431,5.550709024071693,mixed/absorbed,457.15825087897286,g52:6MeV(t0 608),
flow0000002,1,143,409.4151129052043,195.34379335367794,3,0.6634018346627837,137.80837586522102,mixed/absorbed,457.23308120579713,g42:138MeV(t0 517),
flow0000002,1,157,268.7896622940898,154.6402320241864,2,0.5596146842408558,118.37102030217648,bad-stitch?(tpc64),238.7098466030387,g45:118MeV(t0 549),
flow0000002,1,165,132.49762131273746,64.93973110719898,1,0.8769988041099623,16.297365874052048,mixed/absorbed,238.67998986105317,g45:16MeV(t0 549),yes
flow0000002,10,15,56.07394413650036,25.41944467143832,1,0.729469561972346,15.169708669185638,mixed/absorbed,143.42450190772695,g12:15MeV(t0 151),
flow0000002,10,18,71.7630568370223,27.14761390596611,1,0.8613443314794671,9.950354620814323,mixed/absorbed,18.021270359887016,g18:10MeV(t0 226),
flow0000002,10,27,222.01864649355412,81.09442548210731,1,0.9371250459913818,13.959412187337875,mixed/absorbed,171.98710143514526,g22:14MeV(t0 256),yes
flow0000002,10,33,129.2436264678836,53.22270228697337,1,0.8365082069463067,21.13027223199606,mixed/absorbed,317.9491841443974,g34:21MeV(t0 394),
flow0000002,10,45,426.8463448807597,315.49226503749776,3,0.973170581052174,11.452039413154125,mixed/absorbed,487.799830278848,g45:11MeV(t0 515),yes
flow0000002,10,101,690.3899066671729,459.88997575055953,5,0.9855594339069819,9.969621077179909,mixed/absorbed,619.5499650175649,g4:10MeV(t0 62),
flow0000002,10,102,537.0014879181981,335.00127181061816,3,0.9541669000696207,24.61244285851717,mixed/absorbed,469.02550864138107,g3:24MeV(t0 52),yes
flow0000002,11,59,124.87726055830717,82.52869073240439,1,0.9526052462983081,5.918527007102966,mixed/absorbed,453.62044241559875,g38:6MeV(t0 462),
flow0000002,11,100,123.6650510802865,48.03650644476291,1,0.8072647831248382,23.83461043983698,mixed/absorbed,334.185681398674,g34:24MeV(t0 404),
flow0000002,11,114,80.89226952940226,24.113127127094295,1,0.9011172660549336,7.998848766088486,mixed/absorbed,293.291858561988,g31:8MeV(t0 334),
flow0000002,11,147,86.1675131097436,44.056893475592474,1,0.907882386117468,7.9375457018613815,mixed/absorbed,485.60883849344134,g43:8MeV(t0 516),
flow0000002,12,32,91.13592229783535,32.595231563291065,1,0.6572029060693272,31.24112931638956,mixed/absorbed,360.414310758076,g47:31MeV(t0 527),
flow0000002,12,37,201.34169924259186,47.4834469375932,1,0.948564708132553,10.356069065630436,mixed/absorbed,175.33094221545804,g39:10MeV(t0 409),
flow0000002,12,54,421.6844678670168,247.036102594822,3,0.7087304487393029,122.82384572923183,bad-stitch?(tpc25),109.39448569944999,g45:123MeV(t0 483),
flow0000002,12,86,731.6168934851885,498.6609396480811,7,0.5274475796924716,345.72733375430107,mixed/absorbed,123.04003939539433,g11:331MeV(t0 139),
flow0000002,12,91,201.37084132432938,138.76626734598463,2,0.9697500924406104,6.091449335217476,mixed/absorbed,148.0963723815744,g2:6MeV(t0 31),
flow0000002,12,102,152.34578453749418,48.674555764817875,2,0.5601866265457204,67.00371342897415,bad-stitch?(tpc40),594.089932011623,g16:67MeV(t0 200),
flow0000002,12,104,812.1117223724723,246.12426767363883,3,0.7646823055892794,191.1042581126094,bad-stitch?(tpc45),590.4677130435535,g16:191MeV(t0 200),
flow0000002,12,105,306.6018417701125,197.19341752155174,2,0.9831294516083059,5.172541208565235,mixed/absorbed,487.8361035092339,g16:5MeV(t0 200),
flow0000002,12,106,535.6077584698796,348.33850316671476,4,0.9905472022802881,5.062991797924042,mixed/absorbed,161.67335462812787,g55:5MeV(t0 591),
flow0000002,12,109,95.69352328032255,47.017478670941784,1,0.9160590503875946,8.032605215907097,mixed/absorbed,197.87004601777488,g32:8MeV(t0 344),
flow0000002,12,148,385.4145824983716,222.64556506372452,3,0.9558113976495167,17.03093172609806,mixed/absorbed,479.6508153041947,g55:17MeV(t0 591),
flow0000002,12,163,260.1182276159525,44.37144989816727,1,0.5640453854525507,113.39974165707827,mixed/absorbed,172.7526097926296,g36:113MeV(t0 375),
flow0000002,2,96,162.99244555085897,33.5297595146196,1,0.9077369132232781,15.038186147809029,mixed/absorbed,362.5402625964002,g46:15MeV(t0 535),
